date,USDINR=X,USDBRL=X,USDMXN=X,USDZAR=X,USDTRY=X,USDCNY=X,GBPUSD=X,EURUSD=X,USDJPY=X,USDINR=X_30d_vol,USDBRL=X_30d_vol,USDMXN=X_30d_vol,USDZAR=X_30d_vol,USDTRY=X_30d_vol,USDCNY=X_30d_vol,GBPUSD=X_30d_vol,EURUSD=X_30d_vol,USDJPY=X_30d_vol
2025-03-26,85.59040069580078,5.698400020599365,20.031999588012695,18.270610809326172,37.98720169067383,7.256899833679199,1.2943308353424072,1.0787487030029297,149.9499969482422,,,,,,,,,
2025-03-27,86.09539794921875,5.733500003814697,20.257049560546875,18.26959991455078,38.022098541259766,7.256899833679199,1.2877637147903442,1.0742061138153076,150.47300720214844,,,,,,,,,
2025-03-28,85.69490051269531,5.739299774169922,20.281999588012695,18.205350875854492,38.003299713134766,7.263299942016602,1.295202612876892,1.080100178718567,150.8470001220703,,,,,,,,,
2025-03-31,85.53880310058594,5.7581000328063965,20.380090713500977,18.41119956970215,37.975101470947266,7.262800216674805,1.2938284873962402,1.082391619682312,149.61700439453125,,,,,,,,,
2025-04-01,85.46810150146484,5.698400020599365,20.474029541015625,18.30838966369629,37.898590087890625,7.256700038909912,1.292089819908142,1.0818880796432495,149.91299438476562,,,,,,,,,
2025-04-02,85.61009979248047,5.681300163269043,20.328340530395508,18.477970123291016,37.96049880981445,7.269700050354004,1.292306900024414,1.0795987844467163,149.7830047607422,,,,,,,,,
2025-04-03,85.65119934082031,5.663700103759766,20.25830078125,18.94409942626953,37.944618225097656,7.267499923706055,1.3046314716339111,1.090869426727295,147.8719940185547,,,,,,,,,
2025-04-04,85.28289794921875,5.6305999755859375,19.93221092224121,18.739099502563477,38.005699157714844,7.267499923706055,1.308866262435913,1.1043744087219238,146.2310028076172,,,,,,,,,
2025-04-07,85.529296875,5.840030193328857,20.621700286865234,19.27482032775879,38.00090026855469,7.281300067901611,1.2910722494125366,1.098454475402832,145.43299865722656,,,,,,,,,
2025-04-08,86.0270004272461,5.913599967956543,20.696550369262695,19.55769920349121,38.004798889160156,7.30810022354126,1.2734960317611694,1.0915361642837524,147.78900146484375,,,,,,,,,
2025-04-09,86.435302734375,6.013299942016602,20.836240768432617,19.75782012939453,38.007999420166016,7.338799953460693,1.2790995836257935,1.0980443954467773,145.84500122070312,,,,,,,,,
2025-04-10,86.20929718017578,5.8180999755859375,20.33354949951172,19.412220001220703,37.96289825439453,7.349999904632568,1.2825446128845215,1.0952062606811523,147.3990020751953,,,,,,,,,
2025-04-11,86.2603988647461,5.884300231933594,20.594459533691406,19.48649024963379,38.03559875488281,7.314000129699707,1.2992074489593506,1.1257838010787964,143.7469940185547,,,,,,,,,
2025-04-14,86.19300079345703,5.864200115203857,20.276779174804688,19.118560791015625,37.98509979248047,7.291600227355957,1.3085237741470337,1.1343141794204712,143.6959991455078,,,,,,,,,
2025-04-15,86.0447998046875,5.8541998863220215,20.07990074157715,18.871400833129883,38.03839874267578,7.3119001388549805,1.3174536228179932,1.1339668035507202,143.2209930419922,,,,,,,,,
2025-04-16,85.72669982910156,5.8846001625061035,20.125429153442383,19.026330947875977,38.17060089111328,7.3119001388549805,1.323101282119751,1.1292672157287598,143.18099975585938,,,,,,,,,
2025-04-17,85.62049865722656,5.8653998374938965,19.915300369262695,18.780250549316406,38.14339828491211,7.3119001388549805,1.3233989477157593,1.1396790742874146,141.92799377441406,,,,,,,,,
2025-04-22,85.15889739990234,5.80709981918335,19.70330047607422,18.697460174560547,38.235801696777344,7.298999786376953,1.3379716873168945,1.1512778997421265,140.87600708007812,,,,,,,,,
2025-04-23,85.2323989868164,5.719900131225586,19.615190505981445,18.607519149780273,38.280399322509766,7.311800003051758,1.327316164970398,1.1351252794265747,142.68800354003906,,,,,,,,,
2025-04-24,85.4999008178711,5.703400135040283,19.624399185180664,18.659400939941406,38.285621643066406,7.285999774932861,1.326453447341919,1.132733702659607,143.22300720214844,,,,,,,,,
2025-04-25,85.2573013305664,5.678699970245361,19.600000381469727,18.749309539794922,38.415000915527344,7.285999774932861,1.3326226472854614,1.1371906995773315,142.87899780273438,,,,,,,,,
2025-04-28,85.38490295410156,5.684700012207031,19.535160064697266,18.6824893951416,38.42399978637695,7.286399841308594,1.3290096521377563,1.1343141794204712,143.84100341796875,,,,,,,,,
2025-04-29,85.1603012084961,5.652900218963623,19.57309913635254,18.49449920654297,38.44160079956055,7.294000148773193,1.3436164855957031,1.1409143209457397,142.17799377441406,,,,,,,,,
2025-04-30,85.1707992553711,5.619999885559082,19.540199279785156,18.513200759887695,38.4994010925293,7.269000053405762,1.3410794734954834,1.1389262676239014,142.2989959716797,,,,,,,,,
2025-05-01,84.53119659423828,5.672900199890137,19.589000701904297,18.53898048400879,38.5017204284668,7.270599842071533,1.3323917388916016,1.1324899196624756,143.00900268554688,,,,,,,,,
2025-05-02,84.69670104980469,5.67710018157959,19.600889205932617,18.540700912475586,38.55839920043945,7.270599842071533,1.3286387920379639,1.1296498775482178,145.447998046875,,,,,,,,,
2025-05-05,84.52629852294922,5.666900157928467,19.610090255737305,18.40369987487793,38.57176971435547,7.270599842071533,1.3271929025650024,1.1323232650756836,144.62399291992188,,,,,,,,,
2025-05-06,84.2208023071289,5.686299800872803,19.673200607299805,18.259660720825195,38.61050033569336,7.269999980926514,1.3292568922042847,1.1313369274139404,143.6540069580078,,,,,,,,,
2025-05-07,84.79319763183594,5.712800025939941,19.644620895385742,18.19230079650879,38.63290023803711,7.216300010681152,1.335594892501831,1.1342755556106567,143.03500366210938,,,,,,,,,
2025-05-08,84.81719970703125,5.74459981918335,19.60308074951172,18.25079917907715,38.644100189208984,7.225200176239014,1.3294159173965454,1.1306205987930298,143.84800720214844,,,,,,,,,
2025-05-09,86.08219909667969,5.661600112915039,19.518699645996094,18.2106990814209,38.7244987487793,7.225200176239014,1.323539137840271,1.122422695159912,146.01499938964844,7.064662722540356,18.769732243581437,16.458902287101765,17.593327883715048,2.072813748887775,3.843922658155431,10.561226868677362,12.478988353687114,15.388574410337291
2025-05-12,85.4083023071289,5.648200035095215,19.441640853881836,18.201749801635742,38.74020004272461,7.236299991607666,1.3289036750793457,1.12296462059021,145.81199645996094,7.220976240522919,18.6832007650664,16.076968150782463,17.593792516106614,2.0721938930128414,3.874556839231358,10.453445726187802,12.370797668997515,15.334194144252319
2025-05-13,84.9656982421875,5.6697998046875,19.60740089416504,18.24401092529297,38.78990173339844,7.2017998695373535,1.3177834749221802,1.1095577478408813,148.30999755859375,7.250603779593004,18.719842739912835,16.314784610979284,17.57562103101274,2.0527199448124547,4.0911059117273485,10.700924581219219,12.903469144935734,16.187538220527724
2025-05-14,85.060302734375,5.60046911239624,19.39310073852539,18.297489166259766,38.758480072021484,7.205699920654297,1.3304418325424194,1.1185556650161743,147.5279998779297,7.246092731486262,18.996938364064313,16.457561693989344,17.277876428537827,2.0569182984763867,4.0976653217917445,10.999608452111133,13.06722366646518,16.09063739787653
2025-05-15,85.48760223388672,5.636499881744385,19.383060455322266,18.215930938720703,38.7677001953125,7.205699920654297,1.3263479471206665,1.1181930303573608,146.64999389648438,7.397305128205611,18.889695997373156,16.35619548631106,17.25014344310523,1.8977665066389426,4.0945628383799955,11.042457281834539,13.065792901389713,16.151994551878015
2025-05-16,85.44490051269531,5.681300163269043,19.471399307250977,17.99720001220703,38.83620071411133,7.206500053405762,1.3306896686553955,1.1192693710327148,145.61300659179688,7.3820866811007955,19.01955072281232,16.37471979004966,17.346963923827982,1.90350776615438,4.0511420582215925,11.061329276851252,13.029679095256034,16.257871349563423
