country_code,country_name,year,Central govt debt (% of GDP),Current account (% of GDP),Expense (% of GDP),Exports (% of GDP),External debt stocks (% of GNI),FDI net inflows (% of GDP),GDP (current USD),GDP growth (annual %),Imports (% of GDP),"Inflation (CPI, annual %)",Official exchange rate (LCU per USD),Real interest rate (%),Revenue excl grants (% of GDP),"Total reserves (includes gold, USD)",Unemployment (% of labor force),GDP_trillion_usd,trade_openness_pct,fiscal_balance_pct_gdp
CA,Canada,2024,64.9003074523507,-0.461253819279705,,32.4437742363653,,2.81029565355294,2243636826633.76,1.55479521049516,32.706147029013,2.38158383281173,1.36935976604092,,20.5151698408968,119778473396.958,6.351,2.2436368266337596,65.14992126537831,
CN,China,2018,,0.170563391928727,,18.770519802938,13.9248882428061,1.66361992284408,14147765772963.8,6.75671800166833,18.1238645885338,2.07479039965576,6.61595717735439,0.852537111572747,16.240355440609,3168216331199.08,4.31,14.147765772963801,36.8943843914718,
CN,China,2019,,0.706790487310518,,18.0557069597496,14.5601860956403,1.28549226847992,14560167101283.4,6.06850235053705,17.1437133141341,2.89923416358227,6.90838500992901,2.99509285161556,15.7907279889576,3222894578036.36,4.56,14.560167101283401,35.1994202738837,
CN,China,2020,,1.65930095801393,,18.2035821684822,15.634535209813,1.68770756292082,14996414166715.1,2.34018843078414,15.8353686179759,2.41942189457782,6.90076726944925,3.79985989492251,13.7961540297522,3357240875433.71,5.0,14.9964141667151,34.0389507864581,
CN,China,2021,,1.93875176197337,,19.5262422245091,15.0703683293598,1.8903454142588,18201698719564.0,8.57008513166322,16.9944489517585,0.981015135544882,6.44897518024316,-0.118557234530241,14.6241117527941,3427931394628.85,4.55,18.201698719564,36.520691176267604,
CN,China,2022,,2.42059259149418,,20.2977316914005,13.9317634143876,1.03841365474349,18316765021690.2,3.1341888719577,17.1429881849654,1.97357555739051,6.73715811237119,2.36988583421333,14.6559605630141,3306839412813.78,4.98,18.3167650216902,37.440719876365904,
CN,China,2023,,1.4415829879426,,19.102471716101,13.50675136222,0.280991103634816,18270356654533.2,5.41484330099675,17.0027206530128,0.234836828893051,7.08399842343631,4.88038486696444,15.0661250338704,3449544415518.98,4.67,18.2703566545332,36.1051923691138,
CN,China,2024,,2.2616499482671,,20.0229166362049,13.0007522555005,0.0989988051182737,18743803170827.2,4.9773565917572,17.1755035026016,0.218128938439177,7.19749110789917,5.09321925687914,,3456024808739.12,4.59,18.7438031708272,37.1984201388065,
DE,Germany,2018,,8.43761219902202,27.3644959420855,42.4968914074717,,4.00082875273687,4055433215301.96,1.13569604599849,36.6283346388937,1.73216879766942,0.846772667108111,,29.2858827674773,198027061675.403,3.384,4.05543321530196,79.1252260463654,1.9213868253917994
DE,Germany,2019,,7.87471222403171,27.8804335534648,42.3402444816356,,1.9056930139782,3959894794039.21,0.977734697038784,36.7329982359327,1.44565976888253,0.893276257067409,,29.5495408901755,224027961016.415,3.163,3.9598947940392097,79.07324271756829,1.6691073367106988
